word,frequency
good,22
quality,21
performance,20
camera,17
display,17
fast,17
phone,17
great,13
price,13
excellent,11
accurate,10
amazing,10
color,10
build,9
handle,9
money,9
processor,9
screen,9
delivery,8
feel,8
vibrant,8
battery,7
feature,7
point,7
value,7
easily,6
easy,6
light,6
low,6
perfect,6
average,5
everything,5
many,5
month,5
packaging,5
professional,5
quick,5
satisfied,5
smoothly,5
super,5
apps,4
better,4
design,4
friendly,4
gaming,4
hand,4
heavy,4
lag,4
look,4
modern,4
multitasking,4
navigate,4
premium,4
sleek,4
sound,4
speaker,4
ui,4
user,4
advertised,3
available,3
backup,3
charging,3
compared,3
competitor,3
decent,3
disappointing,3
enough,3
expandable,3
game,3
impressive,3
microsd,3
option,3
overheats,3
overpriced,3
playing,3
purchase,3
rate,3
recommended,3
refresh,3
responsive,3
smooth,3
speed,3
storage,3
touch,3
via,3
absolutely,2
brightness,2
carry,2
damaged,2
day,2
detail,2
durable,2
fingerprint,2
glass,2
got,2
health,2
image,2
issue,2
lagging,2
lasting,2
lightweight,2
long,2
outdoor,2
poor,2
produce,2
sensor,2
sharp,2
solid,2
started,2
stunning,2
sturdy,2
use,2
vivid,2
week,2
worth,2
best,1
charge,1
could,1
drain,1
ever,1
highly,1
last,1
need,1
owned,1
quickly,1
since,1
twice,1
verified,1
whole,1
working,1
